Keyword,Cluster,Degree,Betweenness
exercise,1,240,0.5501812738365415
gut microbiota,2,104,0.1846284917328708
health,1,143,0.13249773740156032
performance,2,97,0.08286647560208488
diet,1,99,0.07342536964421527
physical-activity,1,127,0.07281339278003507
metabolism,2,70,0.06764852347796867
skeletal-muscle,2,81,0.059425321083146077
impact,2,43,0.051441196123483385
stress,2,32,0.03823599955784598
oxidative stress,2,54,0.03563000840896278
muscle,2,19,0.03272939801285798
supplementation,2,71,0.031587034560905974
inflammation,2,59,0.024406817226031927
body-composition,2,24,0.01382082119481919
weight-loss,1,39,0.012156406346623207
protein,2,29,0.011270449828032204
chain fatty-acids,2,44,0.008637768859393912
double-blind,2,54,0.007943922084283536
mechanisms,2,34,0.007433672697492218
microbiota,2,17,0.00672720739119519
prevalence,1,44,0.006520245106893935
obesity,1,49,0.005998367318059943
disease,1,51,0.005796689570860345
insulin-resistance,1,30,0.0045065794134006385
behavior,1,18,0.0044961257876267
intestinal microbiota,2,33,0.0036642410833945343
older-adults,1,20,0.0033932982027090343
association,1,59,0.003378647887483837
bacteria,1,23,0.0032813388749548993
nutrition,1,18,0.0031603356272780505
resistance,2,15,0.002937116231899334
gastrointestinal symptoms,2,18,0.0029271729876479994
fat,2,9,0.002498141029330619
responses,2,24,0.0018325676607628969
resistance exercise,2,12,9.962916523367157e-4
validity,1,25,8.795423715791121e-4
quality-of-life,1,31,7.3876719949146e-4
ingestion,1,13,6.846188880127834e-4
symptoms,2,13,5.472005256200922e-4
children,1,19,4.826044819520752e-4
identification,2,12,3.5331946367861725e-4
acid,2,23,3.5331946367861725e-4
exercise performance,2,31,3.4589143491057817e-4
cardiovascular-disease,1,15,2.5692449636284146e-4
adults,1,22,2.1438818341214602e-4
risk,1,61,0
metaanalysis,1,36,0
diversity,1,16,0
management,1,20,0
recovery,2,13,0
time,1,10,0
energy-expenditure,1,13,0
evolution,1,8,0
depression,1,12,0
overweight,1,25,0
validation,1,15,0
consensus statement,2,19,0
gene-expression,2,2,0
risk-factors,1,17,0
